coop,lat,lon,status,activities,address,flocert,type
Barry Callebaut Negoce,5.348776,-4.120097,certified Fair Trade trader,commercialization,"15 BP 431 Abidjan 15, Abidjan, Ivory Coast",FLO ID 23724,certified
Outspan Ivoire S.A.,5.3494279,-4.1207846,certified Fair Trade trader,commercialization,"Boulevard de Vridi, Zone Portuaire, 15 BP 300 Abidjan 15, Abidjan, Ivory Coast",FLO ID 23830,certified
SO.CAFHS  (Société Coopérative Agricole Fiédifoue du Haut Sassandra),6.89996,-6.5156039,certified Fair Trade producer,production,"BP 1999 Daloa, Daloa, Ivory Coast",FLO ID 25546,certified
Ocean SA,6.9015385,-7.5699798,certified Fair Trade trader,commercialization,"Abidjan Vridi Magasin, 01 BP 4574, Abidjan, Ivory Coast",FLO ID 29906,certified
COOP-CA-ECAAF (Entreprise Cooperative Agricole D’Affery ),6.3211554,-3.9664993,certified Fair Trade producer,production,"BP 11 Akoupé, Affery, 225, Ivory Coast",FLO ID 31211,certified
SUCDEN-CI ,5.2979369,-3.9986585,certified Fair Trade trader,commercialization,"Zone 3, Boulevard de Marseille, Abidjan, Ivory Coast",FLO ID 33325,certified
Kineden SA ,5.3494279,-4.1207846,certified Fair Trade trader,commercialization,"Treichville, Boulevard de Vridi, zone industrielle, usine CFS 1, Abidjan, Ivory Coast",FLO ID 33410,certified
Cyrian International SA,5.3213434,-4.0197504,certified Fair Trade trader,commercialization,"6 éme étage immeuble le Djekanou, Boulevard du general de Gaulle, Abidjan, Ivory Coast",FLO ID 33688,certified
AFCOTRADE (Africa Commodities Trading SA),5.348776,-4.120097,certified Fair Trade trader,commercialization,"26 BP 371 Abidjan 26, Abidjan, Ivory Coast",FLO ID 34185,certified
COOP-CA SCAPEN  (Coopérative Agricole N'ZASSA de Tiassalé),5.9332778,-5.0259486,certified Fair Trade producer,production,"BP 06 Hermankono-Garo, Tiassalé, Ivory Coast",FLO ID 35252,certified
Africa Sourcing ,5.3494279,-4.1207846,certified Fair Trade trader,commercialization,"Treichville zone portuaire, rue des thoniers locaux SIFCACOOP, Abidjan, Ivory Coast",FLO ID 35834,certified
COOP-CA SOPLAD ,5.348776,-4.120097,certified Fair Trade trader,commercialization,"TORICAF2 USINE VRIDI, Abidjan, Ivory Coast",FLO ID 36087,certified
SUTEC ,6.9015385,-7.5699798,certified Fair Trade trader,commercialization,"Vridi, Zone industrielle, Rue Zimbabwé, Abidjan, Ivory Coast",FLO ID 36220,certified
SUSCOM-CI ,4.754567,-6.6479141,certified Fair Trade trader,commercialization,"Zone Industrielle Sud, Ivory Coast",FLO ID 36391,certified
Touton Negoce Côte d'Ivoire ,5.2651872,-4.0136824,certified Fair Trade trader,commercialization,"Rue des Pétroliers, Abidjan, Ivory Coast",FLO ID 36524,certified
COOPAMYT  (Coopérative des Producteurs Agricole Minan Yibel de Tiemesson-Teady),6.750148,-7.3656465,certified Fair Trade producer,production,"BP 417 Duekoue, Duekoue, Ivory Coast",FLO ID 37129,certified
